y: 5.69, w: 6.0, Error: 0.31, kp 0.1, duty cycle: 64.5470967742
y: 5.574, w: 6.0, Error: 0.426, kp 0.1, duty cycle: 64.5587096774
y: 5.523, w: 6.0, Error: 0.477, kp 0.1, duty cycle: 64.5638709677
y: 5.471, w: 6.0, Error: 0.529, kp 0.1, duty cycle: 64.5690322581
y: 5.484, w: 6.0, Error: 0.516, kp 0.1, duty cycle: 64.5677419355
y: 5.471, w: 6.0, Error: 0.529, kp 0.1, duty cycle: 64.5690322581
y: 5.484, w: 6.0, Error: 0.516, kp 0.1, duty cycle: 64.5677419355
y: 5.484, w: 6.0, Error: 0.516, kp 0.1, duty cycle: 64.5677419355
y: 5.484, w: 6.0, Error: 0.516, kp 0.1, duty cycle: 64.5677419355
y: 5.484, w: 6.0, Error: 0.516, kp 0.1, duty cycle: 64.5677419355
y: 5.458, w: 6.0, Error: 0.542, kp 0.1, duty cycle: 64.5703225806
y: 5.432, w: 6.0, Error: 0.568, kp 0.1, duty cycle: 64.5729032258
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.406, w: 6.0, Error: 0.594, kp 0.1, duty cycle: 64.575483871
y: 5.432, w: 6.0, Error: 0.568, kp 0.1, duty cycle: 64.5729032258
y: 5.432, w: 6.0, Error: 0.568, kp 0.1, duty cycle: 64.5729032258
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.406, w: 6.0, Error: 0.594, kp 0.1, duty cycle: 64.575483871
y: 5.432, w: 6.0, Error: 0.568, kp 0.1, duty cycle: 64.5729032258
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.406, w: 6.0, Error: 0.594, kp 0.1, duty cycle: 64.575483871
y: 5.432, w: 6.0, Error: 0.568, kp 0.1, duty cycle: 64.5729032258
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.368, w: 6.0, Error: 0.632, kp 0.1, duty cycle: 64.5793548387
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.406, w: 6.0, Error: 0.594, kp 0.1, duty cycle: 64.575483871
y: 5.432, w: 6.0, Error: 0.568, kp 0.1, duty cycle: 64.5729032258
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.394, w: 6.0, Error: 0.606, kp 0.1, duty cycle: 64.5767741935
y: 5.432, w: 6.0, Error: 0.568, kp 0.1, duty cycle: 64.5729032258
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.406, w: 6.0, Error: 0.594, kp 0.1, duty cycle: 64.575483871
y: 5.432, w: 6.0, Error: 0.568, kp 0.1, duty cycle: 64.5729032258
y: 5.432, w: 6.0, Error: 0.568, kp 0.1, duty cycle: 64.5729032258
y: 5.406, w: 6.0, Error: 0.594, kp 0.1, duty cycle: 64.575483871
y: 5.432, w: 6.0, Error: 0.568, kp 0.1, duty cycle: 64.5729032258
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.406, w: 6.0, Error: 0.594, kp 0.1, duty cycle: 64.575483871
y: 5.432, w: 6.0, Error: 0.568, kp 0.1, duty cycle: 64.5729032258
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.406, w: 6.0, Error: 0.594, kp 0.1, duty cycle: 64.575483871
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.394, w: 6.0, Error: 0.606, kp 0.1, duty cycle: 64.5767741935
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.406, w: 6.0, Error: 0.594, kp 0.1, duty cycle: 64.575483871
y: 5.432, w: 6.0, Error: 0.568, kp 0.1, duty cycle: 64.5729032258
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.406, w: 6.0, Error: 0.594, kp 0.1, duty cycle: 64.575483871
y: 5.432, w: 6.0, Error: 0.568, kp 0.1, duty cycle: 64.5729032258
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.342, w: 6.0, Error: 0.658, kp 0.1, duty cycle: 64.5819354839
y: 5.406, w: 6.0, Error: 0.594, kp 0.1, duty cycle: 64.575483871
y: 5.432, w: 6.0, Error: 0.568, kp 0.1, duty cycle: 64.5729032258
y: 5.432, w: 6.0, Error: 0.568, kp 0.1, duty cycle: 64.5729032258
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.406, w: 6.0, Error: 0.594, kp 0.1, duty cycle: 64.575483871
y: 5.432, w: 6.0, Error: 0.568, kp 0.1, duty cycle: 64.5729032258
y: 5.419, w: 6.0, Error: 0.581, kp 0.1, duty cycle: 64.5741935484
y: 5.419, w: 6.0, Error: 0.581, kp 0.3, duty cycle: 64.6903225806
y: 5.419, w: 6.0, Error: 0.581, kp 0.3, duty cycle: 64.6903225806
y: 5.432, w: 6.0, Error: 0.568, kp 0.3, duty cycle: 64.6864516129
y: 5.355, w: 6.0, Error: 0.645, kp 0.3, duty cycle: 64.7096774194
y: 5.419, w: 6.0, Error: 0.581, kp 0.3, duty cycle: 64.6903225806
y: 5.419, w: 6.0, Error: 0.581, kp 0.3, duty cycle: 64.6903225806
y: 5.419, w: 6.0, Error: 0.581, kp 0.3, duty cycle: 64.6903225806
y: 5.419, w: 6.0, Error: 0.581, kp 0.3, duty cycle: 64.6903225806
y: 5.419, w: 6.0, Error: 0.581, kp 0.3, duty cycle: 64.6903225806
y: 5.419, w: 6.0, Error: 0.581, kp 0.3, duty cycle: 64.6903225806
